group_id,coverage_state,publication_blocked,candidate_id,includes_baseline,maximum_regret_loss,maximum_relative_regret,minimax_loss_candidate,minimax_relative_candidate,analysis_purpose,source_version,state,expected_scenario_modes,available_scenario_modes,unique_candidates,common_feasible_candidates,rejected_candidates,baseline_in_common_set,publication_blocked_coverage,minimax_scope,analysis_purpose_coverage,source_version_coverage,budget,context,form,Q0,anchor_count,anchor_sha256,normalize_cost_endpoint,quality_cost_scale,eta_attention,search_protocol.starts,search_protocol.maxiter,search_protocol.seed,search_protocol.solver,search_protocol.max_model_evaluations_per_start
827a4a70fa3a1398642c,computed_finite_candidate_set,False,21f7d6ec1d20ecaeff75,False,0,0,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
827a4a70fa3a1398642c,computed_finite_candidate_set,False,9102433112b8ae322b28,False,3.1481484086270939e-11,1.3812298229221201e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,3e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
a5098cef27b515785e3f,computed_finite_candidate_set,False,9fc9f58ccb7743e023c1,False,0.0019017393996416665,0.00089781031483593366,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
a5098cef27b515785e3f,computed_finite_candidate_set,False,0d239007273eff90220c,False,0.0019017394628688677,0.00089781034468546688,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
a5098cef27b515785e3f,computed_finite_candidate_set,False,92343096c4b8d06b69a6,False,0.0019017394158442613,0.00089781032248517135,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
a5098cef27b515785e3f,computed_finite_candidate_set,False,730f6f2ff3b8969e013f,False,0.0019017394933302789,0.00089781035906628546,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
a5098cef27b515785e3f,computed_finite_candidate_set,False,fbb640ed11aa222793da,False,0.001901739541916303,0.0008978103820037255,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
a5098cef27b515785e3f,computed_finite_candidate_set,False,86eb33369a045279ce0e,False,0.0019017394112905706,0.00089781032033537603,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,exponential,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
22c883ea3fd1d8312b9e,computed_finite_candidate_set,False,5d83aad007f60cdbf26a,False,1.1473888505975083e-10,5.4119586883054068e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
22c883ea3fd1d8312b9e,computed_finite_candidate_set,False,0d239007273eff90220c,False,3.5685676635921482e-11,1.6832079867018009e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+20,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
